,Epoch,Train_loss,Val_loss
0,0,0.9253135126911931,0.6327650621533394
1,1,0.872472514398396,0.6406633481383324
2,2,1.46499429837018,0.5739028304815292
3,3,1.0406151773511536,0.765015996992588
4,4,1.0056310395141028,0.5779324769973755
5,5,0.8008923770135475,0.9743301905400585
6,6,0.984210034703008,0.5904144365340471
7,7,0.8034862105010284,0.6788432849571109
8,8,0.8215160715497203,0.8761733313986042
9,9,1.0969291037310742,0.7377813157363562
10,10,0.793739249308904,0.6548741387814516
11,11,0.8033953371147314,0.7447249024990015
